No errors
No warnings
102 ms
data source=metars
4813 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
ZMCK 220430Z VRB02MPS CAVOK M02/M08 Q1005 NOSIG,ZMCK,2024-03-22T04:30:00Z,47.651,106.822,-2,-8,VRB,4,,6+,29.68,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1366
WIII 220430Z 06005KT 4000 -RA BKN020 26/24 Q1009 NOSIG,WIII,2024-03-22T04:30:00Z,-6.125,106.659,26,24,60,5,,2.49,29.79,,,,,,TRUE,,,,-RA,BKN,2000,,,,,,,IFR,,,,,,,,,,,,METAR,9
WAJJ 220430Z 24004KT 190V300 9999 SCT013 29/25 Q1008 NOSIG,WAJJ,2024-03-22T04:30:00Z,-2.573,140.514,29,25,240,4,,6+,29.76,,,,,,TRUE,,,,,SCT,1300,,,,,,,VFR,,,,,,,,,,,,METAR,93
WADL 220430Z 19004KT 150V240 9000 BKN016 31/25 Q1010 NOSIG,WADL,2024-03-22T04:30:00Z,-8.757,116.277,31,25,190,4,,5.59,29.82,,,,,,TRUE,,,,,BKN,1600,,,,,,,MVFR,,,,,,,,,,,,METAR,97
VNKT 220430Z 28005KT 5000 BR FEW010 SCT030 BKN100 17/13 Q1017 NOSIG,VNKT,2024-03-22T04:30:00Z,27.697,85.359,17,13,280,5,,3.11,30.03,,,,,,TRUE,,,,BR,FEW,1000,SCT,3000,BKN,10000,,,MVFR,,,,,,,,,,,,METAR,1334
VEHO 220430Z 25004KT 6000 BR SCT090 OVC080 20/19 Q1013,VEHO,2024-03-22T04:30:00Z,-99.99,-99.99,20,19,250,4,,3.73,29.91,,,,,,,,,,BR,SCT,9000,OVC,8000,,,,,MVFR,,,,,,,,,,,,METAR,9999
UBBN 220430Z 13008KT 9999 SCT040CB BKN100 08/06 Q1009 NOSIG RMK QFE682,UBBN,2024-03-22T04:30:00Z,39.189,45.458,8,6,130,8,,6+,29.79,,,,,,TRUE,,,,,SCT,4000,BKN,10000,,,,,VFR,,,,,,,,,,,,METAR,857
UBBG 220430Z 08006KT 0350 R12/0350 DZ FG VV001 06/06 Q1014 NOSIG,UBBG,2024-03-22T04:30:00Z,40.738,46.318,6,6,80,6,,0.22,29.94,,,,,,TRUE,,,,DZ FG,OVX,0,,,,,,,LIFR,,,,,,,,,,,100,METAR,333
ORBI 220430Z 14009KT 9999 BKN035 SCT100 16/07 Q1009,ORBI,2024-03-22T04:30:00Z,33.263,44.235,16,7,140,9,,6+,29.79,,,,,,,,,,,BKN,3500,SCT,10000,,,,,VFR,,,,,,,,,,,,METAR,37
OPKC 220430Z 28009KT 4000 HZ NSC 28/18 Q1010 NOSIG,OPKC,2024-03-22T04:30:00Z,24.902,67.139,28,18,280,9,,2.49,29.82,,,,,,TRUE,,,,HZ,CLR,,,,,,,,IFR,,,,,,,,,,,,METAR,20
LEMO 220430Z 04009KT 7000 SCT030 15/14 Q1012 NOSIG,LEMO,2024-03-22T04:30:00Z,37.175,-5.616,15,14,40,9,,4.35,29.88,,,,,,TRUE,,,,,SCT,3000,,,,,,,MVFR,,,,,,,,,,,,METAR,82
LEJR 220430Z 02003KT 9999 BKN032 13/12 Q1011,LEJR,2024-03-22T04:30:00Z,36.751,-6.056,13,12,20,3,,6+,29.85,,,,,,,,,,,BKN,3200,,,,,,,VFR,,,,,,,,,,,,METAR,25
LBWN 220430Z AUTO 33004KT 300V010 9999 SCT012/// 03/01 Q1019 TEMPO BKN010,LBWN,2024-03-22T04:30:00Z,43.232,27.825,3,1,330,4,,6+,30.09,,,TRUE,,,,,,,,SCT,1200,,,,,,,VFR,,,,,,,,,,,,METAR,74
LBSF 220430Z 15003KT 050V210 CAVOK M01/M04 Q1019 NOSIG,LBSF,2024-03-22T04:30:00Z,42.694,23.414,-1,-4,150,3,,6+,30.09,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,531
LBPD 220430Z AUTO 25002KT 9999 FEW070/// 01/00 Q1019 NOSIG,LBPD,2024-03-22T04:30:00Z,42.064,24.86,1,0,250,2,,6+,30.09,,,TRUE,,,TRUE,,,,,FEW,7000,,,,,,,VFR,,,,,,,,,,,,METAR,182
