No errors
No warnings
147 ms
data source=tafs
2629 results
raw_text,station_id,issue_time,bulletin_time,valid_time_from,valid_time_to,remarks,latitude,longitude,elevation_m,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c
KUTS 220419Z 2204/2224 13005KT 5SM SHRA BR VCTS BKN004 OVC007CB TEMPO 2205/2207 VRB20G30KT 3SM TSRA BKN005CB FM220800 VRB04KT 6SM BR BKN006 OVC013 FM221400 29007KT P6SM BKN013 OVC020 FM221800 31009G18KT P6SM SCT025 SCT035,KUTS,2024-03-22T04:19:00Z,2024-03-22T04:19:00Z,2024-03-22T04:00:00Z,2024-03-23T00:00:00Z,AMD,30.7443,-95.5866,103,2024-03-22T04:00:00Z,2024-03-22T08:00:00Z,,,,130,5,,,,,5,,,SHRA BR VCTS,,BKN,400,,OVC,700,CB,,,,,,,,,,,,,,,,2024-03-22T05:00:00Z,2024-03-22T07:00:00Z,TEMPO,,,VRB,20,30,,,,3,,,TSRA,,BKN,500,CB,,,,,,,,,,,,,,,,,,,2024-03-22T08:00:00Z,2024-03-22T14:00:00Z,FM,,,VRB,4,,,,,6,,,BR,,BKN,600,,OVC,1300,,,,,,,,,,,,,,,,,2024-03-22T14:00:00Z,2024-03-22T18:00:00Z,FM,,,290,7,,,,,6+,,,,,BKN,1300,,OVC,2000,,,,,,,,,,,,,,,,,2024-03-22T18:00:00Z,2024-03-23T00:00:00Z,FM,,,310,9,18,,,,6+,,,,,SCT,2500,,SCT,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF AMD CYAY 220418Z 2204/2214 05018KT 2SM -SNRA BR OVC004 TEMPO 2204/2206 P6SM -SN FEW004 BKN020 OVC040 BECMG 2204/2206 12016KT FM220600 17015KT 6SM BR SCT004 BKN012 TEMPO 2206/2208 2SM -SHRA BR OVC004 FM220800 23018G28KT 4SM -SHSN BKN020 RMK FCST BASED ON AUTO OBS. NXT FCST BY 220800Z,CYAY,2024-03-22T04:18:00Z,2024-03-22T04:18:00Z,2024-03-22T04:00:00Z,2024-03-22T14:00:00Z,RMK FCST BASED ON AUTO OBS. NXT FCST BY 220800Z,51.39,-56.081,23,2024-03-22T04:00:00Z,2024-03-22T14:00:00Z,,,,50,18,,,,,2,,,-SN -RA BR,,OVC,400,,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T06:00:00Z,TEMPO,,,,,,,,,6+,,,-SN,,FEW,400,,BKN,2000,,OVC,4000,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T06:00:00Z,BECMG,1711087200,,120,16,,,,,2,,,-SN -RA BR,,OVC,400,,,,,,,,,,,,,,,,,,,,2024-03-22T06:00:00Z,2024-03-22T08:00:00Z,FM,,,170,15,,,,,6,,,BR,,SCT,400,,BKN,1200,,,,,,,,,,,,,,,,,2024-03-22T06:00:00Z,2024-03-22T08:00:00Z,TEMPO,,,,,,,,,2,,,-SHRA BR,,OVC,400,,,,,,,,,,,,,,,,,,,,2024-03-22T08:00:00Z,2024-03-22T14:00:00Z,FM,,,230,18,28,,,,4,,,-SHSN,,BKN,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF AMD EFSA 220417Z 2204/2212 22004KT 5000 -SN VV003 TEMPO 2204/2207 0900 FG PROB40 TEMPO 2204/2207 -FZDZ VV001 BECMG 2207/2209 9999 OVC006 TEMPO 2209/2211 5000 BKN004,EFSA,2024-03-22T04:17:00Z,2024-03-22T04:17:00Z,2024-03-22T04:00:00Z,2024-03-22T12:00:00Z,,61.943,28.945,90,2024-03-22T04:00:00Z,2024-03-22T07:00:00Z,,,,220,4,,,,,3.11,,300,-SN,,OVX,,,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T07:00:00Z,TEMPO,,,,,,,,,0.56,,,FG,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T07:00:00Z,TEMPO,,40,,,,,,,,,100,-FZDZ,,OVX,,,,,,,,,,,,,,,,,,,,,2024-03-22T07:00:00Z,2024-03-22T12:00:00Z,BECMG,1711098000,,220,4,,,,,6+,,300,-SN,,OVC,600,,,,,,,,,,,,,,,,,,,,2024-03-22T09:00:00Z,2024-03-22T11:00:00Z,TEMPO,,,,,,,,,3.11,,,,,BKN,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF AMD ENAL 220416Z 2204/2212 22018KT 9999 -SHRA FEW020 BKN040 TEMPO 2204/2212 24030G40KT 4000 SHRA BKN012CB PROB30 TEMPO 2204/2209 TS,ENAL,2024-03-22T04:16:00Z,2024-03-22T04:16:00Z,2024-03-22T04:00:00Z,2024-03-22T12:00:00Z,,62.562,6.115,21,2024-03-22T04:00:00Z,2024-03-22T12:00:00Z,,,,220,18,,,,,6+,,,-SHRA,,FEW,2000,,BKN,4000,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T12:00:00Z,TEMPO,,,240,30,40,,,,2.49,,,SHRA,,BKN,1200,CB,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T09:00:00Z,TEMPO,,30,,,,,,,,,,TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF AMD CYGV 220415Z 2204/2214 06015G25KT 1 1/2SM -SN BLSN VV012 TEMPO 2204/2207 6SM -SN SCT012 OVC025 FM220700 08015KT 2 1/2SM -SHSN BKN008 OVC020 TEMPO 2207/2211 P6SM -SHSN SCT010 OVC025 FM221100 02012KT P6SM SCT015 BKN030 TEMPO 2211/2214 5SM -SHSN BKN015 OVC030 RMK FCST BASED ON AUTO OBS. NXT FCST BY 220800Z,CYGV,2024-03-22T04:15:00Z,2024-03-22T04:15:00Z,2024-03-22T04:00:00Z,2024-03-22T14:00:00Z,RMK FCST BASED ON AUTO OBS. NXT FCST BY 220800Z,50.286,-63.606,32,2024-03-22T04:00:00Z,2024-03-22T07:00:00Z,,,,60,15,25,,,,1.5,,1200,-SN BLSN,,OVX,,,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T07:00:00Z,TEMPO,,,,,,,,,6,,,-SN,,SCT,1200,,OVC,2500,,,,,,,,,,,,,,,,,2024-03-22T07:00:00Z,2024-03-22T11:00:00Z,FM,,,80,15,,,,,2.5,,,-SHSN,,BKN,800,,OVC,2000,,,,,,,,,,,,,,,,,2024-03-22T07:00:00Z,2024-03-22T11:00:00Z,TEMPO,,,,,,,,,6+,,,-SHSN,,SCT,1000,,OVC,2500,,,,,,,,,,,,,,,,,2024-03-22T11:00:00Z,2024-03-22T14:00:00Z,FM,,,20,12,,,,,6+,,,,,SCT,1500,,BKN,3000,,,,,,,,,,,,,,,,,2024-03-22T11:00:00Z,2024-03-22T14:00:00Z,TEMPO,,,,,,,,,5,,,-SHSN,,BKN,1500,,OVC,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF AMD RJFU 220413Z 2204/2306 25006KT 9999 FEW030 BECMG 2205/2207 19023G33KT TEMPO 2303/2306 4000 -SHRA BR BECMG 2303/2306 21011KT,RJFU,2024-03-22T04:13:00Z,2024-03-22T04:13:00Z,2024-03-22T04:00:00Z,2024-03-23T06:00:00Z,,32.917,129.914,2,2024-03-22T04:00:00Z,2024-03-22T05:00:00Z,,,,250,6,,,,,6+,,,,,FEW,3000,,,,,,,,,,,,,,,,,,,,2024-03-22T05:00:00Z,2024-03-23T03:00:00Z,BECMG,1711090800,,190,23,33,,,,6+,,,,,FEW,3000,,,,,,,,,,,,,,,,,,,,2024-03-23T03:00:00Z,2024-03-23T06:00:00Z,TEMPO,,,,,,,,,2.49,,,-SHRA BR,,,,,,,,,,,,,,,,,,,,,,,2024-03-23T03:00:00Z,2024-03-23T06:00:00Z,BECMG,1711173600,,210,11,,,,,6+,,,,,FEW,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF AMD EGHQ 220412Z 2204/2212 24009KT 2000 -DZ BR BKN003 BECMG 2204/2207 32012KT TEMPO 2204/2206 0300 DZ FG BKN000 BECMG 2205/2208 9999 NSW SCT025,EGHQ,2024-03-22T04:12:00Z,2024-03-22T04:12:00Z,2024-03-22T04:00:00Z,2024-03-22T12:00:00Z,,50.438,-4.998,101,2024-03-22T04:00:00Z,2024-03-22T12:00:00Z,,,,240,9,,,,,1.24,,,-DZ BR,,BKN,300,,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T05:00:00Z,BECMG,1711090800,,320,12,,,,,1.24,,,-DZ BR,,BKN,300,,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T06:00:00Z,TEMPO,,,,,,,,,0.19,,,DZ FG,,BKN,,,,,,,,,,,,,,,,,,,,,2024-03-22T05:00:00Z,2024-03-22T12:00:00Z,BECMG,1711094400,,320,12,,,,,6+,,,NSW,,SCT,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF AMD URMO 220412Z 2204/2212 06003G08MPS 3100 BR OVC003 TEMPO 2204/2207 0300 FG OVC002 BECMG 2207/2209 6000 NSW BKN016,URMO,2024-03-22T04:12:00Z,2024-03-22T04:12:00Z,2024-03-22T04:00:00Z,2024-03-22T12:00:00Z,,43.204,44.608,505,2024-03-22T04:00:00Z,2024-03-22T07:00:00Z,,,,60,6,16,,,,1.93,,,BR,,OVC,300,,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T07:00:00Z,TEMPO,,,,,,,,,0.19,,,FG,,OVC,200,,,,,,,,,,,,,,,,,,,,2024-03-22T07:00:00Z,2024-03-22T12:00:00Z,BECMG,1711098000,,60,6,16,,,,3.73,,,NSW,,BKN,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF AMD EGSS 220410Z 2204/2306 23008KT 9999 BKN016 BECMG 2204/2206 -RA BKN012 TEMPO 2206/2210 2500 DZ BKN004 BECMG 2208/2211 30010KT TEMPO 2210/2214 6000 RA BECMG 2211/2214 NSW SCT025 PROB30 TEMPO 2303/2306 30015G25KT,EGSS,2024-03-22T04:10:00Z,2024-03-22T04:10:00Z,2024-03-22T04:00:00Z,2024-03-23T06:00:00Z,,51.881,0.223,101,2024-03-22T04:00:00Z,2024-03-23T06:00:00Z,,,,230,8,,,,,6+,,,,,BKN,1600,,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T08:00:00Z,BECMG,1711087200,,230,8,,,,,6+,,,-RA,,BKN,1200,,,,,,,,,,,,,,,,,,,,2024-03-22T06:00:00Z,2024-03-22T10:00:00Z,TEMPO,,,,,,,,,1.55,,,DZ,,BKN,400,,,,,,,,,,,,,,,,,,,,2024-03-22T08:00:00Z,2024-03-22T11:00:00Z,BECMG,1711105200,,300,10,,,,,6+,,,-RA,,BKN,1200,,,,,,,,,,,,,,,,,,,,2024-03-22T10:00:00Z,2024-03-22T14:00:00Z,TEMPO,,,,,,,,,3.73,,,RA,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T11:00:00Z,2024-03-23T06:00:00Z,BECMG,1711116000,,300,10,,,,,6+,,,NSW,,SCT,2500,,,,,,,,,,,,,,,,,,,,2024-03-23T03:00:00Z,2024-03-23T06:00:00Z,TEMPO,,30,300,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF AMD EFHK 220409Z 2204/2303 21006KT 8000 BKN003 BKN011 TEMPO 2204/2208 3000 -DZ BR BKN005 BECMG 2208/2210 3000 -SNRA TEMPO 2210/2217 1800 -SN BR TEMPO 2217/2222 0900 SNRA TEMPO 2222/2301 0500 -DZ FG BECMG 2301/2303 9999 NSW BKN006,EFHK,2024-03-22T04:09:00Z,2024-03-22T04:09:00Z,2024-03-22T04:00:00Z,2024-03-23T03:00:00Z,,60.327,24.957,56,2024-03-22T04:00:00Z,2024-03-22T08:00:00Z,,,,210,6,,,,,4.97,,,,,BKN,300,,BKN,1100,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T08:00:00Z,TEMPO,,,,,,,,,1.86,,,-DZ BR,,BKN,500,,,,,,,,,,,,,,,,,,,,2024-03-22T08:00:00Z,2024-03-23T01:00:00Z,BECMG,1711101600,,210,6,,,,,1.86,,,-SN -RA,,BKN,300,,BKN,1100,,,,,,,,,,,,,,,,,2024-03-22T10:00:00Z,2024-03-22T17:00:00Z,TEMPO,,,,,,,,,1.12,,,-SN BR,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T17:00:00Z,2024-03-22T22:00:00Z,TEMPO,,,,,,,,,0.56,,,SN RA,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T22:00:00Z,2024-03-23T01:00:00Z,TEMPO,,,,,,,,,0.31,,,-DZ FG,,,,,,,,,,,,,,,,,,,,,,,2024-03-23T01:00:00Z,2024-03-23T03:00:00Z,BECMG,1711162800,,210,6,,,,,6+,,,NSW,,BKN,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
